Timestamp,Faixa etária ,Gênero,Região do Brasil,Qual seu gênero musical favorito?,Quais gêneros musicais você gosta e/ou escuta ativamente? Marque uma ou mais opções.,"Quais gêneros musicais você não gosta ou evita ouvir? Marque uma ou mais opções.
(Selecione apenas gêneros que você já conhece ou já ouviu anteriormente.)",O que mais te faz gostar de um gênero musical? ,O que mais te faz NÃO gostar de um gênero musical?,Você costuma ouvir apenas um gênero musical ou vários?,Com que frequência você escuta música?,Onde você mais descobre músicas novas?,Você costuma explorar músicas novas com qual frequência?,Você prefere músicas:
5/3/2026 13:20:02,16-18,Masculino,Sudeste,Rock/Metal,"Rap/Trap/Hip Hop, Rock/Metal, Pagode/Samba, Indie/Alternativo",Funk,Emoção que transmite,Letra,Vários gêneros,2-4 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 13:20:35,19-24,Masculino,Sudeste,MPB,"Pop, MPB, Jazz/Blues, Clássica/Instrumental","Sertanejo/Sertanejo Universitário, Gospel/Religiosa",Ritmo/Instrumental/Beat,Ritmo/Instrumental/Beat,Poucos gêneros,2-4 horas,Youtube,As vezes,Ambos
5/3/2026 13:21:10,19-24,Masculino,Nordeste,Rock/Metal,"Rock/Metal, Pop, MPB, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega, Indie/Alternativo, Clássica/Instrumental","Funk, Rap/Trap/HipHop",Emoção que transmite,Não me identifico,Poucos gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 13:21:16,19-24,Outro,Sudeste,Rock/Metal,"Rap/Trap/Hip Hop, Rock/Metal, Indie/Alternativo, Jazz/Blues","Funk, Forró/Piseiro/Brega",Ritmo/Instrumental/Beat,Letra,Vários gêneros,Mais de 4 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 13:23:57,16-18,Masculino,Não moro no Brasil,Indie/Alternativo,"Funk, Rap/Trap/Hip Hop, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, MPB, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo, Jazz/Blues, Clássica/Instrumental","Sertanejo/Sertanejo Universitário, Gospel/Religiosa",Ritmo/Instrumental/Beat,Ritmo/Instrumental/Beat,Vários gêneros,Mais de 4 horas,Amigos/Familiares,Frequentemente,Ambos
5/3/2026 13:26:54,16-18,Prefiro não informar,Norte,Rock/Metal,Pop,Funk,Ritmo/Instrumental/Beat,Não gosto dos artistas do gênero,Vários gêneros,Mais de 4 horas,Youtube,As vezes,Ambos
5/3/2026 13:30:41,19-24,Masculino,Sudeste,Rock/Metal,"Rock/Metal, Pop, Gospel/Religiosa, Indie/Alternativo, Clássica/Instrumental","Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/HipHop, Latina/Reggaeton/Dembow/Salsa",Ritmo/Instrumental/Beat,Influência religiosa,Vários gêneros,Mais de 4 horas,Youtube,As vezes,Internacionais
5/3/2026 13:35:03,16-18,Feminino,Centro-Oeste,Pop,"Sertanejo/Sertanejo Universitário, Rap/Trap/Hip Hop, Pop, MPB","Rock/Metal, Eletrônica/Dubstep/Techno/EDM, Gospel/Religiosa, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega",Emoção que transmite,Não gosto dos artistas do gênero,Vários gêneros,1-2 horas,Tiktok,Frequentemente,Internacionais
5/3/2026 13:35:30,19-24,Feminino,Sudeste,Indie/Alternativo,"Pop, Eletrônica/Dubstep/Techno/EDM, Indie/Alternativo, Jazz/Blues, Clássica/Instrumental","Sertanejo/Sertanejo Universitário, Pagode/Samba",Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,2-4 horas,Youtube,Frequentemente,Ambos
5/3/2026 13:36:17,16-18,Feminino,Centro-Oeste,Indie/Alternativo,"Sertanejo/Sertanejo Universitário, Funk, Pop, Indie/Alternativo",Eletrônica/Dubstep/Techno/EDM,Emoção que transmite,Não me identifico,Vários gêneros,Menos de 1 hora por dia,Tiktok,As vezes,Ambos
5/3/2026 13:36:57,16-18,Feminino,Centro-Oeste,Latina/Reggaeton/Dembow/Salsa,"Funk, Rap/Trap/Hip Hop, Pop, MPB, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega, Jazz/Blues, Clássica/Instrumental",nenhum,Emoção que transmite,Não me identifico,Vários gêneros,1-2 horas,Tiktok,As vezes,Ambos
5/3/2026 13:37:14,16-18,Masculino,Centro-Oeste,Funk,"Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/Hip Hop, Pop, Pagode/Samba, Forró/Piseiro/Brega","MPB, Jazz/Blues",Ritmo/Instrumental/Beat,Ritmo/Instrumental/Beat,Vários gêneros,2-4 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Nacionais
5/3/2026 13:38:54,16-18,Masculino,Centro-Oeste,Rap/Trap/Hip Hop,"Funk, Rap/Trap/Hip Hop, Rock/Metal, Pop, MPB, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo","Eletrônica/Dubstep/Techno/EDM, Gospel/Religiosa",Emoção que transmite,Influência religiosa,Vários gêneros,Mais de 4 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/3/2026 13:45:24,16-18,Masculino,Centro-Oeste,Pagode/Samba,"Rap/Trap/Hip Hop, Rock/Metal, Pop, Pagode/Samba, Jazz/Blues","Sertanejo/Sertanejo Universitário, Funk, Forró/Piseiro/Brega",Ritmo/Instrumental/Beat,Letra,Poucos gêneros,2-4 horas,Youtube,As vezes,Nacionais
5/3/2026 13:48:04,16-18,Feminino,Centro-Oeste,Pop,"Rap/Trap/Hip Hop, Pop, MPB, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo",Sertanejo/Sertanejo Universitário,Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,2-4 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Nacionais
5/3/2026 13:57:40,16-18,Masculino,Centro-Oeste,Clássica/Instrumental,Rap/Trap/Hip Hop,"Gospel/Religiosa, Latina/Reggaeton/Dembow/Salsa",Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,Mais de 4 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/3/2026 13:57:59,16-18,Feminino,Centro-Oeste,Pop,"Funk, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, MPB, Indie/Alternativo","Sertanejo/Sertanejo Universitário, Rap/Trap/HipHop, Gospel/Religiosa",Emoção que transmite,Não me identifico,Vários gêneros,2-4 horas,Tiktok,Frequentemente,Ambos
5/3/2026 13:58:26,35-44,Feminino,Centro-Oeste,Pagode/Samba,Funk,Eletrônica/Dubstep/Techno/EDM,Letra,Letra,Vários gêneros,2-4 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Nacionais
5/3/2026 13:59:46,45+,Feminino,Centro-Oeste,Sertanejo/Sertanejo Universitário,Sertanejo/Sertanejo Universitário,Funk,Emoção que transmite,Não me identifico,Vários gêneros,Menos de 1 hora por dia,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Nacionais
5/3/2026 14:01:24,25-34,Feminino,Centro-Oeste,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, Pagode/Samba",Rock/Metal,Letra,Letra,Vários gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Nacionais
